Index,Year,Location,Location Code,Sex,Age,Value
404,1995,Sub-Saharan Africa,947,Male,15,672189
405,1995,Sub-Saharan Africa,947,Male,20,811188
406,1995,Sub-Saharan Africa,947,Male,25,857653
407,1995,Sub-Saharan Africa,947,Male,30,784532
408,1995,Sub-Saharan Africa,947,Male,35,655010
409,1995,Sub-Saharan Africa,947,Male,40,528085
410,1995,Sub-Saharan Africa,947,Male,45,418852
411,1995,Sub-Saharan Africa,947,Male,50,335266
412,1995,Sub-Saharan Africa,947,Male,55,256392
413,1995,Sub-Saharan Africa,947,Male,60,200572
414,1995,Sub-Saharan Africa,947,Male,65,134652
415,1995,Sub-Saharan Africa,947,Male,70,78153
416,1995,Sub-Saharan Africa,947,Male,75,92232
417,1995,Sub-Saharan Africa,947,Female,0,506835
418,1995,Sub-Saharan Africa,947,Female,5,577982
419,1995,Sub-Saharan Africa,947,Female,10,596342
420,1995,Sub-Saharan Africa,947,Female,15,686647
421,1995,Sub-Saharan Africa,947,Female,20,823635
422,1995,Sub-Saharan Africa,947,Female,25,800072
423,1995,Sub-Saharan Africa,947,Female,30,671203
424,1995,Sub-Saharan Africa,947,Female,35,522964
425,1995,Sub-Saharan Africa,947,Female,40,403097
426,1995,Sub-Saharan Africa,947,Female,45,310397
427,1995,Sub-Saharan Africa,947,Female,50,247480
428,1995,Sub-Saharan Africa,947,Female,55,192278
429,1995,Sub-Saharan Africa,947,Female,60,158479
430,1995,Sub-Saharan Africa,947,Female,65,111530
431,1995,Sub-Saharan Africa,947,Female,70,69302
432,1995,Sub-Saharan Africa,947,Female,75,83101
433,2000,Sub-Saharan Africa,947,Both,0,924164
434,2000,Sub-Saharan Africa,947,Both,5,990600
435,2000,Sub-Saharan Africa,947,Both,10,1023440
436,2000,Sub-Saharan Africa,947,Both,15,1202364
437,2000,Sub-Saharan Africa,947,Both,20,1497621
438,2000,Sub-Saharan Africa,947,Both,25,1571026
439,2000,Sub-Saharan Africa,947,Both,30,1369026
440,2000,Sub-Saharan Africa,947,Both,35,1137359
441,2000,Sub-Saharan Africa,947,Both,40,895992
442,2000,Sub-Saharan Africa,947,Both,45,701645
443,2000,Sub-Saharan Africa,947,Both,50,544930
444,2000,Sub-Saharan Africa,947,Both,55,427741
445,2000,Sub-Saharan Africa,947,Both,60,333580
446,2000,Sub-Saharan Africa,947,Both,65,225715
447,2000,Sub-Saharan Africa,947,Both,70,142740
448,2000,Sub-Saharan Africa,947,Both,75,163286
449,2000,Sub-Saharan Africa,947,Male,0,460411
450,2000,Sub-Saharan Africa,947,Male,5,492765
451,2000,Sub-Saharan Africa,947,Male,10,511069
